keyword_id,threat_family,target_subtype,language,keyword,keyword_type,source,review_status,review_comment
KW_0001,HARMFUL_INFLUENCE,EXTREMIST_PROPAGANDA,RU,сносить их,substring,manual,APPROVED,OK
KW_0002,HARMFUL_INFLUENCE,EXTREMIST_PROPAGANDA,KK,құлатуымыз керек,substring,manual,APPROVED,OK
KW_0003,HARMFUL_INFLUENCE,EXTREMIST_RECRUITMENT,RU,прямого действия,substring,manual,APPROVED,OK
KW_0004,HARMFUL_INFLUENCE,EXTREMIST_RECRUITMENT,KK,тікелей акциялар,substring,manual,APPROVED,OK
KW_0005,HARMFUL_INFLUENCE,VIOLENCE_GLORIFICATION,RU,так ему и надо,substring,manual,APPROVED,OK
KW_0006,HARMFUL_INFLUENCE,VIOLENCE_GLORIFICATION,KK,обалы жоқ,substring,manual,APPROVED,OK
KW_0007,HARMFUL_INFLUENCE,DANGEROUS_CHALLENGE,RU,слабо,substring,manual,APPROVED,OK
KW_0008,HARMFUL_INFLUENCE,DANGEROUS_CHALLENGE,KK,қорқасың ба,substring,manual,APPROVED,OK
KW_0009,HARMFUL_INFLUENCE,SELF_HARM_ENCOURAGEMENT,RU,порезать себя,substring,manual,APPROVED,OK
KW_0010,HARMFUL_INFLUENCE,SELF_HARM_ENCOURAGEMENT,KK,өзіңді кескің,substring,manual,APPROVED,OK
KW_0011,HARMFUL_INFLUENCE,SUICIDE_ENCOURAGEMENT,RU,лучший выход,substring,manual,APPROVED,OK
KW_0012,HARMFUL_INFLUENCE,SUICIDE_ENCOURAGEMENT,KK,ең дұрыс жол,substring,manual,APPROVED,OK
KW_0013,HARMFUL_INFLUENCE,CRIMINAL_RECRUITMENT,RU,курьером (закладки),substring,manual,APPROVED,OK
KW_0014,HARMFUL_INFLUENCE,CRIMINAL_RECRUITMENT,KK,курьер (закладка),substring,manual,APPROVED,OK
KW_0015,HARMFUL_INFLUENCE,GROUP_LOYALTY_PRESSURE,RU,докажи свою преданность,substring,manual,APPROVED,OK
KW_0016,HARMFUL_INFLUENCE,GROUP_LOYALTY_PRESSURE,KK,адалдығыңды дәлелде,substring,manual,APPROVED,OK
KW_0017,HARMFUL_INFLUENCE,SECRET_COMMUNICATION_REQUEST,RU,удаляй переписку,substring,manual,APPROVED,OK
KW_0018,HARMFUL_INFLUENCE,SECRET_COMMUNICATION_REQUEST,KK,хатты тез өшіріп,substring,manual,APPROVED,OK
