source_id,source_name,platform,url,description,review_status,review_comment
SRC_000001,Истинный джамаат,Telegram,https://t.me/истинный_джамаат_98,Открытый источник: Радикальные/Религиозные,APPROVED,Valid OSINT source
SRC_000002,Легкие деньги Астана,Discord,https://discord.gg/927481,Открытый источник: Работа/Заработок,APPROVED,Valid OSINT source
SRC_000003,Скрытая правда,Telegram,https://t.me/скрытая_правда_82,Открытый источник: Анонимное общение,APPROVED,Valid OSINT source
SRC_000004,Радикальный ислам новости,VKontakte,https://vk.com/радикальный_ислам_новости9827,Открытый источник: Радикальные/Религиозные,APPROVED,Valid OSINT source
SRC_000005,Путь Воина,WhatsApp,https://chat.whatsapp.com/invite_984,Открытый источник: Радикальные/Религиозные,APPROVED,Valid OSINT source
SRC_000006,Колумбайн архивы,Telegram,https://t.me/колумбайн_архивы_88,Открытый источник: Деструктивные группы,APPROVED,Valid OSINT source
SRC_000007,Путь Воина,VKontakte,https://vk.com/путь_воина7908,Открытый источник: Радикальные/Религиозные,APPROVED,Valid OSINT source
SRC_000008,Депрессия и боль,VKontakte,https://vk.com/депрессия_и_боль3872,Открытый источник: Деструктивные группы,APPROVED,Valid OSINT source
SRC_000009,Колумбайн архивы,WhatsApp,https://chat.whatsapp.com/invite_833,Открытый источник: Деструктивные группы,APPROVED,Valid OSINT source
SRC_000010,Колумбайн архивы,Discord,https://discord.gg/443240,Открытый источник: Деструктивные группы,APPROVED,Valid OSINT source
SRC_000011,Братья по вере,Discord,https://discord.gg/282580,Открытый источник: Радикальные/Религиозные,APPROVED,Valid OSINT source
SRC_000012,True Crime KZ,VKontakte,https://vk.com/true_crime_kz1242,Открытый источник: Деструктивные группы,APPROVED,Valid OSINT source
SRC_000013,Эстетика крови,VKontakte,https://vk.com/эстетика_крови3196,Открытый источник: Деструктивные группы,APPROVED,Valid OSINT source
SRC_000014,Заработок для студентов,Discord,https://discord.gg/143953,Открытый источник: Работа/Заработок,APPROVED,Valid OSINT source
SRC_000015,Эстетика крови,Telegram,https://t.me/эстетика_крови_56,Открытый источник: Деструктивные группы,APPROVED,Valid OSINT source
SRC_000016,Тихий двор,WhatsApp,https://chat.whatsapp.com/invite_673,Открытый источник: Анонимное общение,APPROVED,Valid OSINT source
SRC_000017,Эстетика крови,Telegram,https://t.me/эстетика_крови_89,Открытый источник: Деструктивные группы,APPROVED,Valid OSINT source
SRC_000018,Синий Кит возвращение,VKontakte,https://vk.com/синий_кит_возвращение7548,Открытый источник: Деструктивные группы,APPROVED,Valid OSINT source
SRC_000019,Теневой форум,WhatsApp,https://chat.whatsapp.com/invite_844,Открытый источник: Анонимное общение,APPROVED,Valid OSINT source
SRC_000020,Скрытая правда,Telegram,https://t.me/скрытая_правда_38,Открытый источник: Анонимное общение,APPROVED,Valid OSINT source
SRC_000021,Секреты Алматы,Telegram,https://t.me/секреты_алматы_51,Открытый источник: Анонимное общение,APPROVED,Valid OSINT source
SRC_000022,True Crime KZ,VKontakte,https://vk.com/true_crime_kz6267,Открытый источник: Деструктивные группы,APPROVED,Valid OSINT source
SRC_000023,Истинный джамаат,Telegram,https://t.me/истинный_джамаат_47,Открытый источник: Радикальные/Религиозные,APPROVED,Valid OSINT source
SRC_000024,AnonChat KZ,Discord,https://discord.gg/980592,Открытый источник: Анонимное общение,APPROVED,Valid OSINT source
SRC_000025,Работа закладки,VKontakte,https://vk.com/работа_закладки7094,Открытый источник: Работа/Заработок,APPROVED,Valid OSINT source
SRC_000026,Истинный джамаат,WhatsApp,https://chat.whatsapp.com/invite_318,Открытый источник: Радикальные/Религиозные,APPROVED,Valid OSINT source
