dialogue_id,target_subtype,source_id,text,language
RU_HIN_000560,EXTREMIST_PROPAGANDA,SRC_000001,"Если ты истинный патриот, вступай в радикальное крыло [АККАУНТ]. (id: 560)",RU
KK_HIN_000979,EXTREMIST_PROPAGANDA,SRC_000005,"Бұл саясаткерлер шектен шықты, бәріміз көшеге шығып, оларды құлатуымыз керек! [ССЫЛКА] (id: 979)",KK
KK_HIN_000802,EXTREMIST_PROPAGANDA,SRC_000002,"Егер сен нағыз патриот болсаң, біздің радикалды топқа қосыл [АККАУНТ]. (id: 802)",KK
KK_HIN_001314,EXTREMIST_PROPAGANDA,SRC_000002,"Бұл саясаткерлер шектен шықты, бәріміз көшеге шығып, оларды құлатуымыз керек! [ССЫЛКА] (id: 1314)",KK
KK_HIN_001252,EXTREMIST_PROPAGANDA,SRC_000004,"Егер сен нағыз патриот болсаң, біздің радикалды топқа қосыл [АККАУНТ]. (id: 1252)",KK
KK_HIN_001208,EXTREMIST_PROPAGANDA,SRC_000005,"Бұл саясаткерлер шектен шықты, бәріміз көшеге шығып, оларды құлатуымыз керек! [ССЫЛКА] (id: 1208)",KK
KK_HIN_001036,EXTREMIST_PROPAGANDA,SRC_000002,"Бұл саясаткерлер шектен шықты, бәріміз көшеге шығып, оларды құлатуымыз керек! [ССЫЛКА] (id: 1036)",KK
KK_HIN_000960,EXTREMIST_PROPAGANDA,SRC_000005,"Егер сен нағыз патриот болсаң, біздің радикалды топқа қосыл [АККАУНТ]. (id: 960)",KK
RU_HIN_000636,EXTREMIST_PROPAGANDA,SRC_000004,"Эти политики совсем обнаглели, нужно собираться на площадях и сносить их! [ССЫЛКА] (id: 636)",RU
RU_HIN_000367,EXTREMIST_PROPAGANDA,SRC_000003,"Эти политики совсем обнаглели, нужно собираться на площадях и сносить их! [ССЫЛКА] (id: 367)",RU
KK_HIN_000929,EXTREMIST_PROPAGANDA,SRC_000002,"Егер сен нағыз патриот болсаң, біздің радикалды топқа қосыл [АККАУНТ]. (id: 929)",KK
RU_HIN_000460,EXTREMIST_PROPAGANDA,SRC_000005,"Эти политики совсем обнаглели, нужно собираться на площадях и сносить их! [ССЫЛКА] (id: 460)",RU
RU_HIN_000115,EXTREMIST_PROPAGANDA,SRC_000005,"Если ты истинный патриот, вступай в радикальное крыло [АККАУНТ]. (id: 115)",RU
KK_HIN_000816,EXTREMIST_PROPAGANDA,SRC_000003,"Бұл саясаткерлер шектен шықты, бәріміз көшеге шығып, оларды құлатуымыз керек! [ССЫЛКА] (id: 816)",KK
KK_HIN_000812,EXTREMIST_PROPAGANDA,SRC_000005,"Егер сен нағыз патриот болсаң, біздің радикалды топқа қосыл [АККАУНТ]. (id: 812)",KK
KK_HIN_000942,EXTREMIST_PROPAGANDA,SRC_000001,"Егер сен нағыз патриот болсаң, біздің радикалды топқа қосыл [АККАУНТ]. (id: 942)",KK
KK_HIN_001198,EXTREMIST_PROPAGANDA,SRC_000002,"Бұл саясаткерлер шектен шықты, бәріміз көшеге шығып, оларды құлатуымыз керек! [ССЫЛКА] (id: 1198)",KK
KK_HIN_001227,EXTREMIST_PROPAGANDA,SRC_000002,"Егер сен нағыз патриот болсаң, біздің радикалды топқа қосыл [АККАУНТ]. (id: 1227)",KK
RU_HIN_000285,EXTREMIST_PROPAGANDA,SRC_000004,"Эти политики совсем обнаглели, нужно собираться на площадях и сносить их! [ССЫЛКА] (id: 285)",RU
RU_HIN_000483,EXTREMIST_PROPAGANDA,SRC_000002,"Если ты истинный патриот, вступай в радикальное крыло [АККАУНТ]. (id: 483)",RU
KK_HIN_000805,EXTREMIST_PROPAGANDA,SRC_000004,"Егер сен нағыз патриот болсаң, біздің радикалды топқа қосыл [АККАУНТ]. (id: 805)",KK
