keyword_id,threat_family,target_subtype,language,keyword,keyword_type,source,review_status,review_comment
KW_0001,HARMFUL_INFLUENCE,EXTREMIST_PROPAGANDA,RU,word_extremist_propaganda_ru,exact,generated,APPROVED,OK
KW_0002,HARMFUL_INFLUENCE,EXTREMIST_PROPAGANDA,KK,word_extremist_propaganda_kk,exact,generated,APPROVED,OK
KW_0003,HARMFUL_INFLUENCE,EXTREMIST_RECRUITMENT,RU,word_extremist_recruitment_ru,exact,generated,APPROVED,OK
KW_0004,HARMFUL_INFLUENCE,EXTREMIST_RECRUITMENT,KK,word_extremist_recruitment_kk,exact,generated,APPROVED,OK
KW_0005,HARMFUL_INFLUENCE,VIOLENCE_GLORIFICATION,RU,word_violence_glorification_ru,exact,generated,APPROVED,OK
KW_0006,HARMFUL_INFLUENCE,VIOLENCE_GLORIFICATION,KK,word_violence_glorification_kk,exact,generated,APPROVED,OK
KW_0007,HARMFUL_INFLUENCE,DANGEROUS_CHALLENGE,RU,word_dangerous_challenge_ru,exact,generated,APPROVED,OK
KW_0008,HARMFUL_INFLUENCE,DANGEROUS_CHALLENGE,KK,word_dangerous_challenge_kk,exact,generated,APPROVED,OK
KW_0009,HARMFUL_INFLUENCE,SELF_HARM_ENCOURAGEMENT,RU,word_self_harm_encouragement_ru,exact,generated,APPROVED,OK
KW_0010,HARMFUL_INFLUENCE,SELF_HARM_ENCOURAGEMENT,KK,word_self_harm_encouragement_kk,exact,generated,APPROVED,OK
KW_0011,HARMFUL_INFLUENCE,SUICIDE_ENCOURAGEMENT,RU,word_suicide_encouragement_ru,exact,generated,APPROVED,OK
KW_0012,HARMFUL_INFLUENCE,SUICIDE_ENCOURAGEMENT,KK,word_suicide_encouragement_kk,exact,generated,APPROVED,OK
KW_0013,HARMFUL_INFLUENCE,CRIMINAL_RECRUITMENT,RU,word_criminal_recruitment_ru,exact,generated,APPROVED,OK
KW_0014,HARMFUL_INFLUENCE,CRIMINAL_RECRUITMENT,KK,word_criminal_recruitment_kk,exact,generated,APPROVED,OK
KW_0015,HARMFUL_INFLUENCE,GROUP_LOYALTY_PRESSURE,RU,word_group_loyalty_pressure_ru,exact,generated,APPROVED,OK
KW_0016,HARMFUL_INFLUENCE,GROUP_LOYALTY_PRESSURE,KK,word_group_loyalty_pressure_kk,exact,generated,APPROVED,OK
KW_0017,HARMFUL_INFLUENCE,SECRET_COMMUNICATION_REQUEST,RU,word_secret_communication_request_ru,exact,generated,APPROVED,OK
KW_0018,HARMFUL_INFLUENCE,SECRET_COMMUNICATION_REQUEST,KK,word_secret_communication_request_kk,exact,generated,APPROVED,OK
