dialogue_id,target_subtype,source_id,text,language
RU_HIN_001117,EXTREMIST_PROPAGANDA,SRC_000002,"Братья, пора объединяться против неверных. кәпірлер — это наш путь.",RU
RU_HIN_001369,EXTREMIST_PROPAGANDA,SRC_000005,"Они хотят уничтожить нашу веру, кәпірлер поможет нам выстоять.",MIXED
RU_HIN_000423,EXTREMIST_PROPAGANDA,SRC_000004,"Вчера в новостях говорили про кәпірлер, ужас какой-то.",RU
RU_HIN_000414,EXTREMIST_PROPAGANDA,SRC_000003,"Они хотят уничтожить нашу веру, джихад поможет нам выстоять.",KK
RU_HIN_000452,EXTREMIST_PROPAGANDA,SRC_000004,"Братья, пора объединяться против неверных. бауырлар — это наш путь.",KK
RU_HIN_000862,EXTREMIST_PROPAGANDA,SRC_000005,"Скину фотки в неверные, посмотришь.",RU
RU_HIN_001064,EXTREMIST_PROPAGANDA,SRC_000001,Что значит неверные?,KK
RU_HIN_000742,EXTREMIST_PROPAGANDA,SRC_000003,"Ты лох, неверные тебе в помощь! Переводи деньги.",RU
RU_HIN_001273,EXTREMIST_PROPAGANDA,SRC_000005,"Они хотят уничтожить нашу веру, бауырлар поможет нам выстоять.",RU
RU_HIN_000260,EXTREMIST_PROPAGANDA,SRC_000003,"Братья, пора объединяться против неверных. неверные — это наш путь.",RU
RU_HIN_000889,EXTREMIST_PROPAGANDA,SRC_000004,"Они хотят уничтожить нашу веру, бауырлар поможет нам выстоять.",KK
RU_HIN_001433,EXTREMIST_PROPAGANDA,SRC_000001,"Братья, пора объединяться против неверных. джихад — это наш путь.",KK
RU_HIN_000713,EXTREMIST_PROPAGANDA,SRC_000003,"Они хотят уничтожить нашу веру, кәпірлер поможет нам выстоять.",KK
RU_HIN_001383,EXTREMIST_PROPAGANDA,SRC_000001,"Они хотят уничтожить нашу веру, кәпірлер поможет нам выстоять.",RU
RU_HIN_000071,EXTREMIST_PROPAGANDA,SRC_000005,Что значит неверные?,KK
RU_HIN_001269,EXTREMIST_PROPAGANDA,SRC_000005,"Они хотят уничтожить нашу веру, кәпірлер поможет нам выстоять.",MIXED
RU_HIN_001492,EXTREMIST_PROPAGANDA,SRC_000003,"Братья, пора объединяться против неверных. бауырлар — это наш путь.",MIXED
RU_HIN_000608,EXTREMIST_PROPAGANDA,SRC_000003,"Братья, пора объединяться против неверных. джихад — это наш путь.",RU
RU_HIN_000434,EXTREMIST_PROPAGANDA,SRC_000003,"Братья, пора объединяться против неверных. неверные — это наш путь.",MIXED
RU_HIN_000052,EXTREMIST_PROPAGANDA,SRC_000001,"Братья, пора объединяться против неверных. кәпірлер — это наш путь.",MIXED
RU_HIN_001200,EXTREMIST_PROPAGANDA,SRC_000003,"Братья, пора объединяться против неверных. джихад — это наш путь.",KK
RU_HIN_001129,EXTREMIST_PROPAGANDA,SRC_000005,"Братья, пора объединяться против неверных. кәпірлер — это наш путь.",MIXED
RU_HIN_001191,EXTREMIST_PROPAGANDA,SRC_000001,"Вчера в новостях говорили про кәпірлер, ужас какой-то.",KK
RU_HIN_001250,EXTREMIST_PROPAGANDA,SRC_000004,"Они хотят уничтожить нашу веру, бауырлар поможет нам выстоять.",KK
RU_HIN_001420,EXTREMIST_PROPAGANDA,SRC_000003,"Они хотят уничтожить нашу веру, джихад поможет нам выстоять.",KK
RU_HIN_000433,EXTREMIST_PROPAGANDA,SRC_000003,"Они хотят уничтожить нашу веру, джихад поможет нам выстоять.",KK
RU_HIN_001453,EXTREMIST_PROPAGANDA,SRC_000004,"Братья, пора объединяться против неверных. неверные — это наш путь.",MIXED
RU_HIN_001471,EXTREMIST_PROPAGANDA,SRC_000001,"Братья, пора объединяться против неверных. кәпірлер — это наш путь.",RU
RU_HIN_001235,EXTREMIST_PROPAGANDA,SRC_000005,"Они хотят уничтожить нашу веру, неверные поможет нам выстоять.",RU
