keyword_id,threat_family,target_subtype,language,keyword,keyword_type,source,review_status,review_comment
KW_0001,HARMFUL_INFLUENCE,EXTREMIST_PROPAGANDA,RU,джихад,радикальные воззвания,OSINT_EXPERT,APPROVED,Valid
KW_0002,HARMFUL_INFLUENCE,EXTREMIST_PROPAGANDA,KK,кәпірлер,религиозно-экстремистская лексика,OSINT_EXPERT,APPROVED,Valid
KW_0003,HARMFUL_INFLUENCE,EXTREMIST_PROPAGANDA,RU,неверные,манифест,OSINT_EXPERT,APPROVED,Valid
KW_0004,HARMFUL_INFLUENCE,EXTREMIST_PROPAGANDA,KK,бауырлар,призывы,OSINT_EXPERT,APPROVED,Valid
KW_0005,HARMFUL_INFLUENCE,EXTREMIST_RECRUITMENT,RU,вступай к нам,прямая вербовка,OSINT_EXPERT,APPROVED,Valid
KW_0006,HARMFUL_INFLUENCE,EXTREMIST_RECRUITMENT,KK,бізге қосылыңдар,прямая вербовка,OSINT_EXPERT,APPROVED,Valid
KW_0007,HARMFUL_INFLUENCE,EXTREMIST_RECRUITMENT,RU,наш джамаат,ячейка,OSINT_EXPERT,APPROVED,Valid
KW_0008,HARMFUL_INFLUENCE,EXTREMIST_RECRUITMENT,MIXED,брат джамаатқа кір,вербовка,OSINT_EXPERT,APPROVED,Valid
KW_0009,HARMFUL_INFLUENCE,VIOLENCE_GLORIFICATION,RU,скулшутинг,героизация,OSINT_EXPERT,APPROVED,Valid
KW_0010,HARMFUL_INFLUENCE,VIOLENCE_GLORIFICATION,KK,мектептегі атыс,одобрение,OSINT_EXPERT,APPROVED,Valid
KW_0011,HARMFUL_INFLUENCE,VIOLENCE_GLORIFICATION,RU,колумбайн,культ жестокости,OSINT_EXPERT,APPROVED,Valid
KW_0012,HARMFUL_INFLUENCE,DANGEROUS_CHALLENGE,RU,зацепинг,челлендж,OSINT_EXPERT,APPROVED,Valid
KW_0013,HARMFUL_INFLUENCE,DANGEROUS_CHALLENGE,KK,руфинг,опасные игры,OSINT_EXPERT,APPROVED,Valid
KW_0014,HARMFUL_INFLUENCE,DANGEROUS_CHALLENGE,RU,собачий кайф,удушье,OSINT_EXPERT,APPROVED,Valid
KW_0015,HARMFUL_INFLUENCE,SELF_HARM_ENCOURAGEMENT,RU,сделай порез,инструкции,OSINT_EXPERT,APPROVED,Valid
KW_0016,HARMFUL_INFLUENCE,SELF_HARM_ENCOURAGEMENT,KK,денеге зақым,эстетизация шрамов,OSINT_EXPERT,APPROVED,Valid
KW_0017,HARMFUL_INFLUENCE,SELF_HARM_ENCOURAGEMENT,RU,шрамирование,флешмоб,OSINT_EXPERT,APPROVED,Valid
KW_0018,HARMFUL_INFLUENCE,SUICIDE_ENCOURAGEMENT,RU,синий кит,деструктивные игры,OSINT_EXPERT,APPROVED,Valid
KW_0019,HARMFUL_INFLUENCE,SUICIDE_ENCOURAGEMENT,RU,тихий дом,куратор,OSINT_EXPERT,APPROVED,Valid
KW_0020,HARMFUL_INFLUENCE,SUICIDE_ENCOURAGEMENT,RU,выпилиться,фатализм,OSINT_EXPERT,APPROVED,Valid
KW_0021,HARMFUL_INFLUENCE,SUICIDE_ENCOURAGEMENT,KK,көк кит,деструктивные игры,OSINT_EXPERT,APPROVED,Valid
KW_0022,HARMFUL_INFLUENCE,CRIMINAL_RECRUITMENT,RU,закладка,наркотики,OSINT_EXPERT,APPROVED,Valid
KW_0023,HARMFUL_INFLUENCE,CRIMINAL_RECRUITMENT,KK,қомақты табыс,дропперство,OSINT_EXPERT,APPROVED,Valid
KW_0024,HARMFUL_INFLUENCE,CRIMINAL_RECRUITMENT,RU,легкие деньги,криминал,OSINT_EXPERT,APPROVED,Valid
KW_0025,HARMFUL_INFLUENCE,CRIMINAL_RECRUITMENT,MIXED,жұмыс курьер,работа,OSINT_EXPERT,APPROVED,Valid
KW_0026,HARMFUL_INFLUENCE,CRIMINAL_RECRUITMENT,MIXED,дроп кз,карты,OSINT_EXPERT,APPROVED,Valid
KW_0027,HARMFUL_INFLUENCE,GROUP_LOYALTY_PRESSURE,RU,докажи преданность,манипуляция,OSINT_EXPERT,APPROVED,Valid
KW_0028,HARMFUL_INFLUENCE,GROUP_LOYALTY_PRESSURE,RU,иначе ты предатель,прессинг,OSINT_EXPERT,APPROVED,Valid
KW_0029,HARMFUL_INFLUENCE,GROUP_LOYALTY_PRESSURE,KK,сатқын болма,инициация,OSINT_EXPERT,APPROVED,Valid
KW_0030,HARMFUL_INFLUENCE,SECRET_COMMUNICATION_REQUEST,RU,секрет чатқа өт,скрытые группы,OSINT_EXPERT,APPROVED,Valid
KW_0031,HARMFUL_INFLUENCE,SECRET_COMMUNICATION_REQUEST,KK,жабық чатқа өт,переход,OSINT_EXPERT,APPROVED,Valid
KW_0032,HARMFUL_INFLUENCE,SECRET_COMMUNICATION_REQUEST,RU,пиши в Threema,анонимность,OSINT_EXPERT,APPROVED,Valid
KW_0033,HARMFUL_INFLUENCE,SECRET_COMMUNICATION_REQUEST,RU,Session,мессенджер,OSINT_EXPERT,APPROVED,Valid
