dialogue_id,target_subtype,annotation,text_snippet,annotator_comment
RU_HIN_000560,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Если ты истинный патриот, всту",Проверено
KK_HIN_000979,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
KK_HIN_000802,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
KK_HIN_001314,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
KK_HIN_001252,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
KK_HIN_001208,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
KK_HIN_001036,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
KK_HIN_000960,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
RU_HIN_000636,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Эти политики совсем обнаглели,",Проверено
RU_HIN_000367,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Эти политики совсем обнаглели,",Проверено
KK_HIN_000929,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
RU_HIN_000460,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Эти политики совсем обнаглели,",Проверено
RU_HIN_000115,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Если ты истинный патриот, всту",Проверено
KK_HIN_000816,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
KK_HIN_000812,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
KK_HIN_000942,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
KK_HIN_001198,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
